,清水祖師廟,中臺禪寺,大甲鎮瀾宮,萬和宮,法鼓山世界佛教教育園區,南鯤鯓代天府,北港朝天宮,佛光山,麻豆代天府,鹿港龍山寺
2012.076923076923,4185.0,277396.0,0.0,57860.0,20573.0,789650.0,1853000.0,2124974.0,456000.0,233650.0
2012.1538461538462,4486.0,218539.0,0.0,30510.0,32877.0,698200.0,1311000.0,2002925.0,387600.0,172500.0
2012.2307692307693,805.0,327312.0,0.0,31600.0,23681.0,690550.0,1186700.0,720502.0,364442.0,60930.0
2012.3076923076924,1874.0,372260.0,0.0,32200.0,31900.0,868700.0,836500.0,817685.0,605885.0,44940.0
2012.3846153846155,1204.0,329847.0,0.0,81040.0,23560.0,855000.0,412100.0,660030.0,490259.0,43965.0
2012.4615384615386,924.0,274657.0,0.0,33340.0,18293.0,662250.0,189500.0,369809.0,392207.0,35805.0
2012.5384615384614,1820.0,305355.0,0.0,70809.0,25064.0,792560.0,140600.0,392782.0,313765.0,48285.0
2012.6153846153845,835.0,271211.0,0.0,152188.0,21218.0,447500.0,120900.0,277967.0,156882.0,34580.0
2012.6923076923076,1190.0,205806.0,0.0,125601.0,25131.0,751000.0,147000.0,254654.0,215442.0,34658.0
2012.7692307692307,1732.0,286532.0,0.0,46326.0,26570.0,985750.0,322000.0,340282.0,318375.0,45370.0
2012.8461538461538,1285.0,322589.0,0.0,33620.0,36540.0,976500.0,253000.0,416786.0,270618.0,51765.0
2012.923076923077,1430.0,322977.0,0.0,23170.0,27610.0,568200.0,279300.0,681591.0,263490.0,4381.0
2013.076923076923,904.0,238499.0,93400.0,26900.0,21550.0,889650.0,189500.0,195551.0,364800.0,47335.0
2013.1538461538462,5000.0,261143.0,1860350.0,57990.0,72969.0,818600.0,2562800.0,4163386.0,477266.0,514700.0
2013.2307692307693,925.0,306781.0,186950.0,24100.0,29604.0,750550.0,1312000.0,338559.0,405676.0,66435.0
2013.3076923076924,1940.0,362378.0,393610.0,28700.0,27161.0,585500.0,629500.0,479927.0,484708.0,42430.0
2013.3846153846155,1238.0,287713.0,159500.0,30530.0,25933.0,955000.0,169600.0,376044.0,515002.0,42245.0
2013.4615384615386,999.0,244992.0,62150.0,25800.0,24785.0,695500.0,135000.0,345400.0,386252.0,45000.0
2013.5384615384614,1716.0,251165.0,83900.0,25330.0,22322.0,893500.0,163200.0,408519.0,412001.0,70000.0
2013.6153846153845,984.0,291357.0,61250.0,56750.0,22820.0,495000.0,138400.0,407277.0,267800.0,23456.0
2013.6923076923076,1262.0,258455.0,80150.0,38390.0,25981.0,798000.0,276300.0,355442.0,329600.0,46010.0
2013.7692307692307,1953.0,204898.0,70350.0,24550.0,26298.0,1000000.0,173200.0,236979.0,391400.0,56665.0
2013.8461538461538,1390.0,256111.0,69800.0,29170.0,29494.0,880350.0,186400.0,398807.0,280160.0,44715.0
2013.923076923077,1376.0,266784.0,73750.0,26530.0,36668.0,610000.0,226500.0,521475.0,266152.0,45816.0
2014.076923076923,1250.0,239801.0,130550.0,48500.0,37563.0,800500.0,864400.0,608252.0,332844.0,133320.0
2014.1538461538462,2571.0,307152.0,1688250.0,55100.0,52385.0,868600.0,2372500.0,2944854.0,429539.0,292305.0
2014.2307692307693,946.0,377038.0,289500.0,24800.0,25880.0,761000.0,624700.0,473967.0,385392.0,133950.0
2014.3076923076924,1722.0,393508.0,811506.0,30890.0,26496.0,635200.0,671300.0,404360.0,416848.0,36685.0
2014.3846153846155,1795.0,338318.0,154021.0,29353.0,27016.0,980000.0,285000.0,353549.0,489251.0,43360.0
2014.4615384615386,996.0,311571.0,94500.0,24550.0,22543.0,700500.0,196000.0,341229.0,539504.0,56780.0
2014.5384615384614,1582.0,292681.0,77500.0,22950.0,22105.0,898000.0,153600.0,417811.0,431603.0,159495.0
2014.6153846153845,980.0,266961.0,67600.0,21650.0,24099.0,500000.0,174500.0,377451.0,302122.0,36280.0
2014.6923076923076,1256.0,258763.0,72550.0,29450.0,21925.0,820200.0,213600.0,301337.0,313120.0,37800.0
2014.7692307692307,1823.0,298729.0,71600.0,28900.0,28050.0,980700.0,182000.0,413703.0,371830.0,58190.0
2014.8461538461538,1700.0,316565.0,64500.0,22500.0,25523.0,1363700.0,223000.0,435504.0,297464.0,83590.0
2014.923076923077,1233.0,344344.0,71000.0,23700.0,39717.0,1388000.0,201300.0,463336.0,300438.0,45220.0
2015.076923076923,1930.0,302232.0,79500.0,26400.0,29180.0,702900.0,282300.0,399124.0,316200.0,32425.0
2015.1538461538462,3401.0,320585.0,618750.0,56360.0,59094.0,885000.0,2347000.0,923612.0,471466.0,487080.0
2015.2307692307693,957.0,267537.0,184500.0,24100.0,23083.0,781200.0,1517000.0,854636.0,400746.0,96000.0
2015.3076923076924,1074.0,315720.0,783500.0,24550.0,23022.0,652300.0,436000.0,370234.0,396005.0,94560.0
2015.3846153846155,1826.0,367748.0,128150.0,30900.0,20759.0,870700.0,314500.0,333846.0,430540.0,43365.0
2015.4615384615386,1015.0,276200.0,76900.0,23090.0,14856.0,752800.0,271600.0,263571.0,409013.0,41385.0
2015.5384615384614,1453.0,270434.0,77750.0,24070.0,16258.0,909000.0,234200.0,348850.0,410022.0,86310.0
2015.6153846153845,1060.0,244546.0,56250.0,14250.0,14413.0,538750.0,167000.0,304990.0,328017.0,48085.0
2015.6923076923076,1420.0,240385.0,64000.0,29200.0,16450.0,800900.0,212000.0,282881.0,295215.0,47112.0
2015.7692307692307,1964.0,316491.0,81250.0,22100.0,22245.0,999600.0,186700.0,304474.0,334647.0,95760.0
2015.8461538461538,1467.0,311678.0,76500.0,24350.0,35229.0,1252500.0,174860.0,558803.0,267717.0,56040.0
2015.923076923077,1226.0,286832.0,69500.0,23500.0,23657.0,1009800.0,173600.0,398593.0,273071.0,81080.0
2016.076923076923,2101.0,254909.0,65750.0,24370.0,17647.0,710200.0,243500.0,297833.0,327685.0,133200.0
2016.1538461538462,3622.0,265621.0,135700.0,54350.0,47264.0,899800.0,2436000.0,3099679.0,495039.0,213225.0
2016.2307692307693,1063.0,310960.0,85000.0,22760.0,17201.0,791500.0,1235000.0,1215321.0,420783.0,94790.0
2016.3076923076924,1352.0,59596.0,581750.0,24850.0,18854.0,657500.0,426500.0,342163.0,378704.0,82350.0
2016.3846153846155,1079.0,235693.0,85315.0,31160.0,21967.0,890900.0,278400.0,342475.0,387486.0,83220.0
2016.4615384615386,1183.0,174945.0,77000.0,21520.0,12818.0,773200.0,223800.0,254905.0,368112.0,82450.0
2016.5384615384614,1605.0,168967.0,75000.0,23060.0,15880.0,896700.0,176800.0,348351.0,348518.0,110340.0
2016.6153846153845,1472.0,121489.0,46000.0,12140.0,15016.0,568800.0,223500.0,283971.0,295350.0,57650.0
2016.6923076923076,1087.0,116694.0,78500.0,23490.0,14674.0,887000.0,187800.0,212381.0,296225.0,79290.0
2016.7692307692307,1621.0,145181.0,72500.0,21550.0,19247.0,899700.0,256800.0,330250.0,284450.0,55465.0
2016.8461538461538,1496.0,158190.0,60250.0,20650.0,26064.0,897900.0,188600.0,556299.0,241783.0,74220.0
2016.923076923077,1247.0,165325.0,74000.0,22450.0,23378.0,900300.0,204300.0,463959.0,229670.0,75770.0
2017.076923076923,2137.0,132770.0,126000.0,47630.0,46709.0,1010700.0,1260350.0,1742936.0,513736.0,311685.0
2017.1538461538462,3688.0,128701.0,83750.0,32760.0,24427.0,900000.0,2563000.0,1337550.0,488050.0,63120.0
2017.2307692307693,1117.0,136127.0,109750.0,23950.0,18964.0,800600.0,753000.0,289428.0,439245.0,100674.0
2017.3076923076924,1880.0,125372.0,87500.0,27390.0,23924.0,657500.0,234300.0,340894.0,417283.0,42000.0
2017.3846153846155,1200.0,118188.0,66000.0,20620.0,23329.0,900000.0,178500.0,321765.0,421456.0,86400.0
2017.4615384615386,1231.0,104590.0,58000.0,20570.0,11056.0,791000.0,176500.0,250877.0,400383.0,64190.0
2017.5384615384614,1414.0,110438.0,65000.0,23800.0,16993.0,910200.0,186500.0,292892.0,340325.0,106540.0
2017.6153846153845,1480.0,104612.0,70000.0,12350.0,14808.0,560000.0,176500.0,260821.0,289276.0,15600.0
2017.6923076923076,1136.0,101211.0,49500.0,12300.0,16795.0,888000.0,157500.0,465547.0,266602.0,98654.0
2017.7692307692307,1704.0,131551.0,75000.0,25740.0,19570.0,900000.0,183500.0,590766.0,312896.0,41185.0
2017.8461538461538,1509.0,155550.0,70000.0,23870.0,24191.0,800000.0,167300.0,742705.0,281606.0,76088.0
2017.923076923077,1286.0,147853.0,64000.0,22920.0,18161.0,807000.0,194300.0,773758.0,267525.0,80180.0
2018.076923076923,2075.0,103501.0,72900.0,23280.0,13558.0,710100.0,214700.0,509671.0,240773.0,86463.0
2018.1538461538462,3596.0,118129.0,104000.0,43660.0,52541.0,901750.0,2038900.0,2046179.0,544657.0,659310.0
2018.2307692307693,1230.0,109681.0,97500.0,21170.0,20958.0,800800.0,339500.0,688365.0,544657.0,101250.0
2018.3076923076924,1892.0,120135.0,95000.0,24600.0,23055.0,770000.0,671400.0,613077.0,441172.0,112750.0
2018.3846153846155,1329.0,99233.0,85000.0,27010.0,18460.0,900800.0,364500.0,523176.0,529407.0,56790.0
2018.4615384615386,1096.0,87894.0,59500.0,20060.0,12958.0,793000.0,175600.0,553138.0,439407.0,71420.0
2018.5384615384614,1158.0,86293.0,69000.0,22810.0,16755.0,911700.0,186400.0,556925.0,395466.0,106557.0
2018.6153846153845,595.0,73700.0,53000.0,13640.0,15073.0,560500.0,163500.0,487455.0,296599.0,57822.0
2018.6923076923076,960.0,71506.0,67500.0,25480.0,18152.0,888000.0,176000.0,504371.0,316372.0,86733.0
2018.7692307692307,1655.0,82748.0,65000.0,22570.0,17958.0,900800.0,213000.0,520438.0,268916.0,79630.0
2018.8461538461538,1523.0,84841.0,68250.0,21960.0,19616.0,830750.0,201400.0,816357.0,253445.0,64560.0
2018.923076923077,1175.0,89332.0,68000.0,24300.0,19385.0,810500.0,193800.0,860844.0,240773.0,86580.0
2019.076923076923,1695.0,74051.0,140500.0,26960.0,14186.0,700500.0,306700.0,458009.0,204658.0,94810.0
2019.1538461538462,3982.0,88787.0,71500.0,51080.0,55780.0,905000.0,3156000.0,2363018.0,568118.0,230750.0
2019.2307692307693,1126.0,134339.0,72000.0,22100.0,19135.0,800000.0,243600.0,792975.0,465681.0,173640.0
2019.3076923076924,1855.0,133101.0,118000.0,28600.0,18906.0,762500.0,437500.0,661520.0,397055.0,138890.0
2019.3846153846155,1363.0,129263.0,69500.0,21300.0,16513.0,910000.0,178600.0,628630.0,449996.0,150640.0
2019.4615384615386,1081.0,106497.0,60000.0,21950.0,9928.0,790000.0,197200.0,565544.0,395466.0,152480.0
2019.5384615384614,1146.0,92228.0,71500.0,24090.0,14419.0,912000.0,187200.0,553048.0,375693.0,203976.0
2019.6153846153845,629.0,70462.0,52000.0,13500.0,12844.0,570000.0,213400.0,528629.0,281770.0,125310.0
2019.6923076923076,1150.0,41660.0,74500.0,26300.0,12814.0,890100.0,224300.0,431874.0,300554.0,168580.0
2019.7692307692307,1547.0,42506.0,62000.0,26300.0,14498.0,901500.0,231000.0,497708.0,255480.0,194526.0
2019.8461538461538,1420.0,50436.0,67400.0,22200.0,25405.0,830000.0,218000.0,824353.0,228100.0,145760.0
2019.923076923077,1142.0,44609.0,65000.0,21800.0,11928.0,825000.0,217600.0,696649.0,217298.0,158960.0
